,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
33,36,66.0,87.690246582,50.080078125,5.668,2677.0,3330.0,3997.0,21.1,88.0,5621.0
34,37,56.0,87.788597107,50.050300598,0.602,3082.0,3374.0,3534.0,17.4,335.0,1439.0
35,38,86.0,77.749273443,41.786813441,0.954,3921.0,4200.0,4458.0,15.8,11.0,2345.0
36,39,90.0,78.181348805,41.826979308,2.925,3864.0,4264.0,4725.0,14.8,307.0,4165.0
37,40,55.0,74.497660363,42.454479253,4.827,3315.0,3893.0,4291.0,14.4,335.0,5095.0
38,41,34.0,78.204925537,41.827301025,8.945,3771.0,4287.0,4853.0,17.4,310.0,5841.0
39,42,53.0,78.272803308,42.140309987,2.046,3328.0,3844.0,4361.0,21.2,358.0,3378.0
40,43,53.0,77.073632056,43.051831778,0.157,3579.0,3678.0,3761.0,19.5,33.0,617.0
41,45,61.0,71.569862366,39.609699249,21.345,3648.0,4202.0,4895.0,10.0,27.0,8572.0
42,46,53.0,140.865356445,62.588794708,3.925,2076.0,2420.0,2631.0,17.3,345.0,3593.0
43,47,104.0,80.781663716,45.236448969,1.774,3254.0,3478.0,3838.0,14.1,355.0,2957.0
44,48,175.0,80.808349609,45.23513031,2.286,3191.0,3547.0,3826.0,14.8,347.0,2582.0
45,49,110.0,79.136686351,44.928453577,0.335,3097.0,3233.0,3416.0,18.7,1.0,930.0
